File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\filemanager\lang\el_GR.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\en_EN.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\es.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\fa.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\fr_FR.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\he_IL.php,102,97,1,1,5,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\hr.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\hu_HU.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\id.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\it.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\ja.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\languages.php,41,36,1,1,4,0,1,2,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\lt.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\mn_MN.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\nb_NO.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\nl.php,100,97,1,1,3,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\pl.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\pt_BR.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\pt_PT.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\ru.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\sk.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\sl.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\sv_SE.php,101,97,1,1,4,78,0,332,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\tr_TR.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\uk_UA.php,101,97,1,1,4,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\vi.php,100,97,1,1,3,8,0,40,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\lang\zh_CN.php,101,97,1,1,4,8,0,40,0,0
